species	taxon_id	corresponding_file
Streptococcus thermophilus	1308	St_thermophilus_STH_CIRM_2101_C
Lactobacillus crispatus	47770	Lb_crispatus_UMNLC18_S
Leuconostoc lactis	1246	Leu_lactis_CBA3626_C
Lactobacillus crispatus	47770	Lb_crispatus_UMNLC14_S
Latilactobacillus sakei	1599	Lb_sakei_RI-409_S
Leuconostoc citreum	33964	Leu_citreum_CIRM-BIA_2098_S
Bifidobacterium longum	216816	B_longum_1001271st1_B4_S
Lactococcus lactis	1358	Lco_lactis_S0_C
Lactobacillus gasseri	1596	Lb_gasseri_4M13_C
Lacticaseibacillus rhamnosus	47715	Lb_rhamnosus_CIRM-BIA_780_S
Lactobacillus acidophilus	1579	Lb_acidophilus_CIRM-BIA_902_S
Leuconostoc citreum	33964	Leu_citreum_CIRM-BIA_2091_S
Lactococcus lactis	1358	Lco_lactis_AI06_C
Lactobacillus delbrueckii	1584	Lb_delbrueckii_subsp-bulgaricus_CIRM-BIA_1383_S
Leuconostoc citreum	33964	Leu_citreum_KM20_C
Lactobacillus helveticus	1587	Lb_helveticus_IMAU80627_S
Lactobacillus johnsonii	33959	Lb_johnsonii_G2A_C
Lactobacillus helveticus	1587	Lb_helveticus_FAM21493_S
Bifidobacterium longum	216816	B_longum_D6t1_180914_F8_S
Lactococcus lactis	1358	Lco_lactis_subsp-lactis_EIP25C_S
Lactiplantibacillus plantarum	1590	Lb_plantarum_CIRM-BIA_1525_S
Lactococcus lactis	1358	Lco_lactis_subsp-lactis_EIP20B_S
Lactobacillus helveticus	1587	Lb_helveticus_IMAU10029_S
Lactobacillus acidophilus	1579	Lb_acidophilus_CIRM-BIA_441_S
Leuconostoc falkenbergense	2766470	Leu_falkenbergense_CIRM-BIA_1261_S
Lacticaseibacillus rhamnosus	47715	Lb_rhamnosus_Pen_C
Lactobacillus pentosus	1589	Lb_pentosus_DSM_20314_C
Lacticaseibacillus rhamnosus	47715	Lb_rhamnosus_979_LRHA_S
Latilactobacillus sakei	1599	Lb_sakei_J64_C
Leuconostoc mesenteroides	1245	Leu_mesenteroides_LBAE_E18_S
Brevibacillus brevis	1393	Lb_brevis_ATCC_14869_S
Lactobacillus helveticus	1587	Lb_helveticus_CIRM-BIA_112_S
Lactobacillus pentosus	1589	Lb_pentosus_ZFM94_C
Lactobacillus amylovorus	1604	Lb_amylovorus_DSM_20531_C
Leuconostoc mesenteroides	1245	Leu_mesenteroides_SRCM103460_C
Pediococcus pentosaceus	1255	Pe_pentosaceus_CIRM-BIA_749_S
Lentilactobacillus buchneri	1581	Lb_buchneri_LA1175D_S
Latilactobacillus curvatus	28038	Lb_curvatus_ZJUNIT8_C
Bifidobacterium longum	216816	B_longum_AF26-10_S
Lactobacillus delbrueckii	1584	Lb_delbrueckii_DSM_20080_C
Lactobacillus delbrueckii	1584	Lb_delbrueckii_subsp-lactis_CIRM-BIA_1368_S
Weissella cibaria	137591	W_cibaria_LBAE_K39_S
Lactobacillus fermentum	1613	Lb_fermentum_CIRM-BIA_697_S
Streptococcus thermophilus	1308	St_thermophilus_STH_CIRM_967_C
Latilactobacillus curvatus	28038	Lb_curvatus_CIRM-BIA_469_S
Streptococcus thermophilus	1308	St_thermophilus_ND03_C
Lactococcus lactis	1358	Lco_lactis_RTB018_S
Pediococcus pentosaceus	1255	Pe_pentosaceus_FAM19086_S
Lactobacillus johnsonii	33959	Lb_johnsonii_DC22-2_C
Lactobacillus helveticus	1587	Lb_helveticus_LZ-R-5_C
Lactobacillus coryniformis	1610	Lb_coryniformis_KCTC_3167_S
Weissella cibaria	137591	W_cibaria_1369_S
Lactobacillus helveticus	1587	Lb_helveticus_UC1267_S
Lactiplantibacillus plantarum	1590	Lb_plantarum_CIRM-BIA_2110_S
Lactobacillus helveticus	1587	Lb_helveticus_IMAU30115_S
Lacticaseibacillus rhamnosus	47715	Lb_rhamnosus_NCTC13764_C
Latilactobacillus curvatus	28038	Lb_curvatus_CBA3617_C
Streptococcus thermophilus	1308	St_thermophilus_STH_CIRM_336_C
Lactobacillus helveticus	1587	Lb_helveticus_DLBSA202_S
Lacticaseibacillus rhamnosus	47715	Lb_rhamnosus_769_LRHA_S
Lactobacillus helveticus	1587	Lb_helveticus_FAM8105_C
Pediococcus pentosaceus	1255	Pe_pentosaceus_SRCM102736_C
Lactococcus lactis	1358	Lco_lactis_NZ9000_C
Bifidobacterium breve	1685	B_breve_NRBB02_C
Leuconostoc mesenteroides	1245	Leu_mesenteroides_LK-151_C
Lactobacillus crispatus	47770	Lb_crispatus_UMB0054_S
Pediococcus pentosaceus	1255	Pe_pentosaceus_LBAE_C15_S
Streptococcus thermophilus	1308	St_thermophilus_ND07_C
Lactobacillus helveticus	1587	Lb_helveticus_H9_C
Lactobacillus crispatus	47770	Lb_crispatus_UMB0040_S
Brevibacillus brevis	1393	Lb_brevis_DM9218_S
Streptococcus thermophilus	1308	St_thermophilus_MN-BM-A01_C
Lacticaseibacillus rhamnosus	47715	Lb_rhamnosus_4B15_C
Streptococcus thermophilus	1308	St_thermophilus_STH_CIRM_65_C
Limosilactobacillus reuteri	1598	Lb_reuteri_SD2112_C
Bifidobacterium longum	216816	B_longum_TPY12-1_S
Brevibacillus brevis	1393	Lb_brevis_ATCC_367_C
Lactobacillus crispatus	47770	Lb_crispatus_UMNLC13_S
Lactococcus cremoris	1359	Lco_cremoris_CIRM-BIA_87_S
Latilactobacillus sakei	1599	Lb_sakei_DS4_C
Bifidobacterium longum	216816	B_longum_NCIMB8809_C
Lacticaseibacillus rhamnosus	47715	Lb_rhamnosus_AMC0710_S
Lacticaseibacillus rhamnosus	47715	Lb_rhamnosus_AMC0722_S
Bifidobacterium longum	216816	B_longum_KACC_91563_C
Lactococcus cremoris	1359	Lco_cremoris_EIP36F_S
Lactococcus lactis	1358	Lco_lactis_CIRM-BIA_644_S
Streptococcus thermophilus	1308	St_thermophilus_STH_CIRM_19_C
Weissella paramesenteroides	1249	W_paramesenteroides_1397_S
Lacticaseibacillus rhamnosus	47715	Lb_rhamnosus_CIRM-BIA_913_S
Lactobacillus helveticus	1587	Lb_helveticus_UC1285_S
Pediococcus pentosaceus	1255	Pe_pentosaceus_FAM_22491_S
Latilactobacillus sakei	1599	Lb_sakei_23K_C
Lactococcus lactis	1358	Lco_lactis_G50_C
Lactococcus lactis	1358	Lco_lactis_CIRM-BIA_637_S
Lactiplantibacillus plantarum	1590	Lb_plantarum_CIRM-BIA_466_S
Weissella confusa	1583	W_confusa_1310_S
Leuconostoc citreum	33964	Leu_citreum_CIRM-BIA_2099_S
Latilactobacillus curvatus	28038	Lb_curvatus_FBA2_C
Pediococcus pentosaceus	1255	Pe_pentosaceus_DSM_20281_S
Lactococcus lactis	1358	Lco_lactis_CIRM-BIA_1562_S
